route_id,route_short_name_sched,route_long_name_sched,route_type,n_trips,route_short_name_delay,route_long_name_delay,n_events,avg_delay_min,share_over_5min,share_on_time_or_early,impact_score,route_short_name,route_long_name,norm_impact,norm_trips,norm_share_over_5,priority_score
19118_700,468,PlusBus Nationalparklinie,700,56,468.0,PlusBus Nationalparklinie,4.0,1.0,0.0,0.5,4.0,468,PlusBus Nationalparklinie,1.0,0.017994858611825194,0.0,0.5053984575835475
17452_900,M4,,900,3112,,,0.0,0.0,0.0,0.0,0.0,M4,,0.0,1.0,0.0,0.3
17520_700,U6,,700,3070,,,0.0,0.0,0.0,0.0,0.0,U6,,0.0,0.9865038560411311,0.0,0.2959511568123393
17514_400,U2,,400,2893,,,0.0,0.0,0.0,0.0,0.0,U2,,0.0,0.9296272493573264,0.0,0.2788881748071979
17609_700,M4,,700,2518,,,0.0,0.0,0.0,0.0,0.0,M4,,0.0,0.8091259640102828,0.0,0.24273778920308484
17453_700,M41,,700,2246,,,0.0,0.0,0.0,0.0,0.0,M41,,0.0,0.7217223650385605,0.0,0.21651670951156812
17448_700,M27,,700,2125,,,0.0,0.0,0.0,0.0,0.0,M27,,0.0,0.6828406169665809,0.0,0.20485218508997427
17440_900,M10,,900,2098,,,0.0,0.0,0.0,0.0,0.0,M10,,0.0,0.6741645244215938,0.0,0.20224935732647814
17450_700,M32,,700,1802,,,0.0,0.0,0.0,0.0,0.0,M32,,0.0,0.5790488431876607,0.0,0.1737146529562982
17449_700,M29,,700,1749,,,0.0,0.0,0.0,0.0,0.0,M29,,0.0,0.5620179948586118,0.0,0.16860539845758354
17454_700,M44,,700,1680,,,0.0,0.0,0.0,0.0,0.0,M44,,0.0,0.5398457583547558,0.0,0.16195372750642673
17455_700,M45,,700,1649,,,0.0,0.0,0.0,0.0,0.0,M45,,0.0,0.5298843187660668,0.0,0.15896529562982004
17456_700,M46,,700,1583,,,0.0,0.0,0.0,0.0,0.0,M46,,0.0,0.5086760925449871,0.0,0.15260282776349612
17459_900,M5,,900,1562,,,0.0,0.0,0.0,0.0,0.0,M5,,0.0,0.5019280205655527,0.0,0.1505784061696658
17438_900,M1,,900,1543,,,0.0,0.0,0.0,0.0,0.0,M1,,0.0,0.4958226221079691,0.0,0.14874678663239074
17458_700,M49,,700,1534,,,0.0,0.0,0.0,0.0,0.0,M49,,0.0,0.4929305912596401,0.0,0.14787917737789202
22754_700,M36,,700,1514,,,0.0,0.0,0.0,0.0,0.0,M36,,0.0,0.4865038560411311,0.0,0.14595115681233933
17446_900,M2,,900,1502,,,0.0,0.0,0.0,0.0,0.0,M2,,0.0,0.48264781491002573,0.0,0.1447943444730077
17303_700,122,,700,1496,,,0.0,0.0,0.0,0.0,0.0,122,,0.0,0.480719794344473,0.0,0.1442159383033419
17463_900,M8,,900,1475,,,0.0,0.0,0.0,0.0,0.0,M8,,0.0,0.47397172236503854,0.0,0.14219151670951155
17445_700,M19,,700,1442,,,0.0,0.0,0.0,0.0,0.0,M19,,0.0,0.4633676092544987,0.0,0.1390102827763496
17538_700,X83,,700,1369,,,0.0,0.0,0.0,0.0,0.0,X83,,0.0,0.4399100257069409,0.0,0.13197300771208226
17460_900,M6,,900,1365,,,0.0,0.0,0.0,0.0,0.0,M6,,0.0,0.43862467866323906,0.0,0.13158740359897173
17525_400,U8,,400,1365,,,0.0,0.0,0.0,0.0,0.0,U8,,0.0,0.43862467866323906,0.0,0.13158740359897173
17526_400,U9,,400,1350,,,0.0,0.0,0.0,0.0,0.0,U9,,0.0,0.4338046272493573,0.0,0.1301413881748072
17464_700,M82,,700,1338,,,0.0,0.0,0.0,0.0,0.0,M82,,0.0,0.42994858611825193,0.0,0.12898457583547557
17447_700,M21,,700,1338,,,0.0,0.0,0.0,0.0,0.0,M21,,0.0,0.42994858611825193,0.0,0.12898457583547557
17347_700,194,,700,1262,,,0.0,0.0,0.0,0.0,0.0,194,,0.0,0.4055269922879177,0.0,0.12165809768637531
17367_700,255,,700,1247,,,0.0,0.0,0.0,0.0,0.0,255,,0.0,0.40070694087403597,0.0,0.12021208226221078
17515_400,U3,,400,1201,,,0.0,0.0,0.0,0.0,0.0,U3,,0.0,0.3859254498714653,0.0,0.11577763496143958
17441_700,M11,,700,1191,,,0.0,0.0,0.0,0.0,0.0,M11,,0.0,0.3827120822622108,0.0,0.11481362467866324
17348_700,195,,700,1176,,,0.0,0.0,0.0,0.0,0.0,195,,0.0,0.37789203084832906,0.0,0.11336760925449871
10155_109,S46,,109,1167,,,0.0,0.0,0.0,0.0,0.0,S46,,0.0,0.375,0.0,0.11249999999999999
17451_700,M37,,700,1155,,,0.0,0.0,0.0,0.0,0.0,M37,,0.0,0.3711439588688946,0.0,0.11134318766066838
17366_700,250,,700,1135,,,0.0,0.0,0.0,0.0,0.0,250,,0.0,0.3647172236503856,0.0,0.10941516709511569
17360_700,240,,700,1135,,,0.0,0.0,0.0,0.0,0.0,240,,0.0,0.3647172236503856,0.0,0.10941516709511569
17457_700,M48,,700,1120,,,0.0,0.0,0.0,0.0,0.0,M48,,0.0,0.35989717223650386,0.0,0.10796915167095116
17521_400,U6,,400,1114,,,0.0,0.0,0.0,0.0,0.0,U6,,0.0,0.35796915167095117,0.0,0.10739074550128534
17335_700,172,,700,1112,,,0.0,0.0,0.0,0.0,0.0,172,,0.0,0.35732647814910024,0.0,0.10719794344473006
17461_700,M76,,700,1100,,,0.0,0.0,0.0,0.0,0.0,M76,,0.0,0.35347043701799485,0.0,0.10604113110539845
17533_700,X34,,700,1097,,,0.0,0.0,0.0,0.0,0.0,X34,,0.0,0.35250642673521854,0.0,0.10575192802056556
17339_700,181,,700,1091,,,0.0,0.0,0.0,0.0,0.0,181,,0.0,0.3505784061696658,0.0,0.10517352185089973
17465_700,M85,,700,1076,,,0.0,0.0,0.0,0.0,0.0,M85,,0.0,0.34575835475578404,0.0,0.10372750642673521
17442_900,M13,,900,1069,,,0.0,0.0,0.0,0.0,0.0,M13,,0.0,0.3435089974293059,0.0,0.10305269922879177
23415_700,M43,,700,1069,,,0.0,0.0,0.0,0.0,0.0,M43,,0.0,0.3435089974293059,0.0,0.10305269922879177
17341_700,186,,700,1067,,,0.0,0.0,0.0,0.0,0.0,186,,0.0,0.34286632390745503,0.0,0.10285989717223651
10223_109,S41,,109,1060,,,0.0,0.0,0.0,0.0,0.0,S41,,0.0,0.34061696658097684,0.0,0.10218508997429306
17523_400,U7,,400,1058,,,0.0,0.0,0.0,0.0,0.0,U7,,0.0,0.33997429305912596,0.0,0.10199228791773779
17462_700,M77,,700,1058,,,0.0,0.0,0.0,0.0,0.0,M77,,0.0,0.33997429305912596,0.0,0.10199228791773779
10226_109,S42,,109,1046,,,0.0,0.0,0.0,0.0,0.0,S42,,0.0,0.3361182519280206,0.0,0.10083547557840618
17289_700,100,,700,1030,,,0.0,0.0,0.0,0.0,0.0,100,,0.0,0.3309768637532134,0.0,0.09929305912596402
10167_109,S8,,109,1028,,,0.0,0.0,0.0,0.0,0.0,S8,,0.0,0.33033419023136246,0.0,0.09910025706940874
10170_109,S9,,109,1024,,,0.0,0.0,0.0,0.0,0.0,S9,,0.0,0.32904884318766064,0.0,0.0987146529562982
17444_900,M17,,900,1024,,,0.0,0.0,0.0,0.0,0.0,M17,,0.0,0.32904884318766064,0.0,0.0987146529562982
17416_900,50,,900,1015,,,0.0,0.0,0.0,0.0,0.0,50,,0.0,0.32615681233933164,0.0,0.09784704370179949
17281_700,27,,700,1006,,,0.0,0.0,0.0,0.0,0.0,27,,0.0,0.3232647814910026,0.0,0.09697943444730077
17342_700,187,,700,1002,,,0.0,0.0,0.0,0.0,0.0,187,,0.0,0.32197943444730076,0.0,0.09659383033419022
17308_700,130,,700,1001,,,0.0,0.0,0.0,0.0,0.0,130,,0.0,0.3216580976863753,0.0,0.0964974293059126
17329_700,164,,700,987,,,0.0,0.0,0.0,0.0,0.0,164,,0.0,0.317159383033419,0.0,0.0951478149100257
17361_700,245,,700,986,,,0.0,0.0,0.0,0.0,0.0,245,,0.0,0.31683804627249357,0.0,0.09505141388174806
17355_700,221,,700,974,,,0.0,0.0,0.0,0.0,0.0,221,,0.0,0.3129820051413882,0.0,0.09389460154241645
17314_700,137,,700,972,,,0.0,0.0,0.0,0.0,0.0,137,,0.0,0.31233933161953725,0.0,0.09370179948586117
17313_700,136,,700,958,,,0.0,0.0,0.0,0.0,0.0,136,,0.0,0.307840616966581,0.0,0.0923521850899743
10162_109,S7,,109,956,,,0.0,0.0,0.0,0.0,0.0,S7,,0.0,0.30719794344473006,0.0,0.09215938303341902
17370_700,260,,700,948,,,0.0,0.0,0.0,0.0,0.0,260,,0.0,0.3046272493573265,0.0,0.09138817480719795
17292_700,106,,700,936,,,0.0,0.0,0.0,0.0,0.0,106,,0.0,0.30077120822622105,0.0,0.09023136246786631
17532_700,X33,,700,930,,,0.0,0.0,0.0,0.0,0.0,X33,,0.0,0.29884318766066836,0.0,0.08965295629820051
17302_700,120,,700,921,,,0.0,0.0,0.0,0.0,0.0,120,,0.0,0.29595115681233936,0.0,0.0887853470437018
17340_700,184,,700,920,,,0.0,0.0,0.0,0.0,0.0,184,,0.0,0.29562982005141386,0.0,0.08868894601542415
17994_700,U2,,700,920,,,0.0,0.0,0.0,0.0,0.0,U2,,0.0,0.29562982005141386,0.0,0.08868894601542415
23945_100,RE1,,100,919,,,0.0,0.0,0.0,0.0,0.0,RE1,,0.0,0.2953084832904884,0.0,0.08859254498714653
17295_700,109,,700,915,,,0.0,0.0,0.0,0.0,0.0,109,,0.0,0.2940231362467866,0.0,0.08820694087403598
17319_700,150,,700,909,,,0.0,0.0,0.0,0.0,0.0,150,,0.0,0.2920951156812339,0.0,0.08762853470437017
17531_700,X21,,700,905,,,0.0,0.0,0.0,0.0,0.0,X21,,0.0,0.2908097686375321,0.0,0.08724293059125963
